zone_code,zone_name,year,month,month_name,tickets_booked,tickets_cancelled,passengers_booked,passengers_cancelled,earning,refund,net
SR,Southern Railway,2025,4,April,2399,241,5574,401,2799614,709014,2090600
SW,South Western Railway,2025,4,April,666,90,1745,139,1952665,158081,1794584
WC,West Central Railway,2025,4,April,834,72,1227,165,1063162,114448,948714
WR,Western Railway,2025,4,April,1818,160,4135,477,2973143,374826,2598317
ALL,All India,2025,5,May,210170,44156,329392,68563,264094830,51426855,212667975
CR,Central Railway,2025,5,May,1640,262,3408,445,1867405,420518,1446887
EC,East Central Railway,2025,5,May,1289,161,2643,3524,2348135,329430,2018705
EO,East Coast Railway,2025,5,May,309,238,923,238,701241,72572,628669
ER,Eastern Railway,2025,5,May,2020,168,2469,209,2026233,302238,1723995
INTERNET,Internet / Online Booking,2025,5,May,190304,41453,287029,60869,233147183,47323849,185823334
KR,Konkan Railway,2025,5,May,140,36,249,40,302854,13263,289591
NC,North Central Railway,2025,5,May,614,93,1266,153,838318,111878,726440
NE,North Eastern Railway,2025,5,May,832,243,2678,261,1866618,270164,1596454
NF,Northeast Frontier Railway,2025,5,May,861,152,2920,213,2014044,286441,1727603
NR,Northern Railway,2025,5,May,2800,370,4694,509,3191631,137703,3053928
NW,North Western Railway,2025,5,May,726,86,1627,186,1843068,155442,1687626
SB,South East Central Railway,2025,5,May,715,79,1503,227,1018423,117735,900688
SC,South Central Railway,2025,5,May,857,91,2323,194,1421389,159985,1261404
SE,South Eastern Railway,2025,5,May,568,76,1164,149,1170522,113062,1057460
SR,Southern Railway,2025,5,May,2648,267,6146,429,3252307,818464,2433843
SW,South Western Railway,2025,5,May,747,101,2053,157,2296668,187347,2109321
WC,West Central Railway,2025,5,May,842,70,1242,160,1071438,113828,957610
WR,Western Railway,2025,5,May,2258,210,5055,600,3717353,492936,3224417
ALL,All India,2025,6,June,176705,41862,271602,64035,217432955,46103851,171329104
CR,Central Railway,2025,6,June,1476,249,3093,427,1719394,387602,1331792
EC,East Central Railway,2025,6,June,1036,132,2109,2783,1925966,263123,1662843
EO,East Coast Railway,2025,6,June,289,228,877,228,618800,71417,547383
ER,Eastern Railway,2025,6,June,1793,148,2150,187,1737011,275527,1461484
INTERNET,Internet / Online Booking,2025,6,June,159224,39429,234285,57433,190176478,42483009,147693469
KR,Konkan Railway,2025,6,June,116,27,209,30,248607,9315,239292
NC,North Central Railway,2025,6,June,624,78,1289,126,882003,90440,791563
NE,North Eastern Railway,2025,6,June,724,208,2317,229,1678838,234547,1444291
NF,Northeast Frontier Railway,2025,6,June,840,143,2870,199,1898065,263906,1634159
NR,Northern Railway,2025,6,June,2583,337,4264,465,2894385,127291,2767094
NW,North Western Railway,2025,6,June,681,86,1515,189,1801373,157062,1644311
SB,South East Central Railway,2025,6,June,608,65,1339,189,871713,98534,773179
SC,South Central Railway,2025,6,June,781,91,2096,188,1272383,159029,1113354
SE,South Eastern Railway,2025,6,June,535,82,1079,167,1068129,116936,951193
SR,Southern Railway,2025,6,June,2061,216,4803,364,2555575,652709,1902866
SW,South Western Railway,2025,6,June,624,90,1691,137,1802883,161716,1641167
WC,West Central Railway,2025,6,June,851,68,1303,158,1146171,104206,1041965
WR,Western Railway,2025,6,June,1859,185,4313,536,3135181,447482,2687699
ALL,All India,2025,7,July,123232,27469,198385,43464,156444181,30465377,125978804
CR,Central Railway,2025,7,July,1048,176,2235,293,1286051,279549,1006502
EC,East Central Railway,2025,7,July,785,87,1598,1914,1394311,167485,1226826
EO,East Coast Railway,2025,7,July,231,165,717,165,504671,49487,455184
ER,Eastern Railway,2025,7,July,1197,99,1458,124,1212820,187017,1025803
INTERNET,Internet / Online Booking,2025,7,July,110607,25658,171209,38722,136804291,27776477,109027814
KR,Konkan Railway,2025,7,July,91,23,170,24,193928,8555,185373
NC,North Central Railway,2025,7,July,442,67,944,109,599955,78334,521621
NE,North Eastern Railway,2025,7,July,514,172,1648,187,1225819,187181,1038638
NF,Northeast Frontier Railway,2025,7,July,563,117,1975,165,1281623,220471,1061152
NR,Northern Railway,2025,7,July,1775,250,2891,352,1995468,93460,1902008
NW,North Western Railway,2025,7,July,440,57,997,127,1104439,103854,1000585
SB,South East Central Railway,2025,7,July,448,58,934,172,621762,90212,531550
SC,South Central Railway,2025,7,July,516,56,1416,116,838099,99204,738895
SE,South Eastern Railway,2025,7,July,392,53,810,106,820239,77832,742407
SR,Southern Railway,2025,7,July,1660,170,3830,280,1976308,525219,1451089
SW,South Western Railway,2025,7,July,462,75,1231,112,1405111,135713,1269398
WC,West Central Railway,2025,7,July,613,53,927,117,778508,82515,695993
WR,Western Railway,2025,7,July,1448,133,3395,379,2400778,302812,2097966
ALL,All India,2025,8,August,140563,28290,221143,44602,174440174,32235234,142204940
CR,Central Railway,2025,8,August,1286,183,2807,318,1532886,294006,1238880
EC,East Central Railway,2025,8,August,812,109,1597,2332,1500813,222845,1277968
EO,East Coast Railway,2025,8,August,223,173,685,173,508832,53696,455136
ER,Eastern Railway,2025,8,August,1350,121,1594,147,1379945,230513,1149432
INTERNET,Internet / Online Booking,2025,8,August,127125,26354,192571,39230,153440889,29322362,124118527
KR,Konkan Railway,2025,8,August,97,22,182,24,211958,7866,204092
NC,North Central Railway,2025,8,August,430,68,916,112,564495,77321,487174
NE,North Eastern Railway,2025,8,August,536,180,1676,190,1266223,199312,1066911
NF,Northeast Frontier Railway,2025,8,August,590,115,1998,161,1370116,219214,1150902
NR,Northern Railway,2025,8,August,1818,263,3005,359,2074454,95589,1978865
NW,North Western Railway,2025,8,August,526,60,1177,130,1395167,103393,1291774
SB,South East Central Railway,2025,8,August,500,60,1051,175,688649,93580,595069
SC,South Central Railway,2025,8,August,546,62,1469,133,901772,107219,794553
SE,South Eastern Railway,2025,8,August,434,56,871,115,916068,83956,832112
SR,Southern Railway,2025,8,August,1848,183,4290,311,2250974,555992,1694982
SW,South Western Railway,2025,8,August,462,73,1210,109,1400676,127657,1273019
WC,West Central Railway,2025,8,August,577,62,859,143,773089,97485,675604
WR,Western Railway,2025,8,August,1403,146,3185,440,2263168,343228,1919940
ALL,All India,2025,9,September,155986,33612,243970,53145,199667225,37022160,162645065
CR,Central Railway,2025,9,September,1323,212,2744,354,1507806,324874,1182932
EC,East Central Railway,2025,9,September,981,118,1903,2537,1756506,229265,1527241
EO,East Coast Railway,2025,9,September,235,166,718,166,506028,52002,454026
ER,Eastern Railway,2025,9,September,1422,117,1731,147,1419725,217523,1202202
INTERNET,Internet / Online Booking,2025,9,September,141586,31579,213278,47410,177379773,34037909,143341864
KR,Konkan Railway,2025,9,September,93,23,168,25,203872,8425,195447
NC,North Central Railway,2025,9,September,461,71,1004,117,625801,82961,542840
NE,North Eastern Railway,2025,9,September,623,193,2016,206,1400352,203449,1196903
NF,Northeast Frontier Railway,2025,9,September,664,129,2314,183,1468440,237361,1231079
NR,Northern Railway,2025,9,September,1999,284,3212,410,2278352,108967,2169385
NW,North Western Railway,2025,9,September,513,66,1155,146,1352471,118330,1234141
SB,South East Central Railway,2025,9,September,518,54,1113,159,712362,82622,629740
SC,South Central Railway,2025,9,September,621,78,1729,162,1036164,142219,893945
SE,South Eastern Railway,2025,9,September,421,62,846,125,858188,88536,769652
SR,Southern Railway,2025,9,September,1760,173,3978,290,2054883,512603,1542280
SW,South Western Railway,2025,9,September,564,72,1547,109,1682592,131291,1551301
WC,West Central Railway,2025,9,September,703,61,1033,142,922815,95955,826860
WR,Western Railway,2025,9,September,1499,154,3481,457,2501095,347868,2153227
ALL,All India,2025,10,October,172613,35888,270260,56911,219310274,42048229,177262045
CR,Central Railway,2025,10,October,1614,226,3409,379,1959107,347211,1611896
EC,East Central Railway,2025,10,October,1134,135,2215,2873,2116385,264464,1851921
EO,East Coast Railway,2025,10,October,299,239,912,239,640655,73506,567149
ER,Eastern Railway,2025,10,October,1701,131,2062,163,1724153,249284,1474869
INTERNET,Internet / Online Booking,2025,10,October,155462,33441,233842,50235,192729649,38472322,154257327
KR,Konkan Railway,2025,10,October,110,32,204,35,230078,11484,218594
NC,North Central Railway,2025,10,October,639,95,1337,150,867994,108658,759336
NE,North Eastern Railway,2025,10,October,740,213,2344,232,1698408,232435,1465973
NF,Northeast Frontier Railway,2025,10,October,748,137,2610,191,1676351,250661,1425690
NR,Northern Railway,2025,10,October,2431,349,3952,494,2869179,131667,2737512
NW,North Western Railway,2025,10,October,611,76,1415,166,1551541,133074,1418467
SB,South East Central Railway,2025,10,October,569,79,1201,237,791451,115571,675880
SC,South Central Railway,2025,10,October,718,81,1947,164,1139864,144710,995154
SE,South Eastern Railway,2025,10,October,489,66,1022,130,1044322,97010,947312
SR,Southern Railway,2025,10,October,2249,234,5062,382,2638156,700397,1937759
SW,South Western Railway,2025,10,October,601,108,1646,162,1821338,196519,1624819
WC,West Central Railway,2025,10,October,754,67,1100,154,1011068,103441,907627
WR,Western Railway,2025,10,October,1744,179,3980,525,2800575,415815,2384760
ALL,All India,2025,11,November,203982,41400,323035,64105,250929154,47738102,203191052
CR,Central Railway,2025,11,November,1603,261,3364,444,1841433,415437,1425996
EC,East Central Railway,2025,11,November,1202,157,2405,3415,2142891,323750,1819141
EO,East Coast Railway,2025,11,November,359,235,1055,235,797644,72438,725206
ER,Eastern Railway,2025,11,November,2119,170,2583,207,2092653,305756,1786897
INTERNET,Internet / Online Booking,2025,11,November,184521,38744,282318,56597,220840565,43831000,177009565
KR,Konkan Railway,2025,11,November,122,35,217,38,262571,12956,249615
NC,North Central Railway,2025,11,November,646,87,1377,136,913458,104606,808852
NE,North Eastern Railway,2025,11,November,720,233,2357,251,1668740,261337,1407403
NF,Northeast Frontier Railway,2025,11,November,808,153,2733,215,1802287,278810,1523477
NR,Northern Railway,2025,11,November,2826,377,4655,525,3227852,146001,3081851
NW,North Western Railway,2025,11,November,679,94,1524,210,1770882,165327,1605555
SB,South East Central Railway,2025,11,November,677,87,1414,254,969426,125970,843456
SC,South Central Railway,2025,11,November,748,101,2053,207,1174973,184660,990313
SE,South Eastern Railway,2025,11,November,555,76,1110,153,1178199,114278,1063921
SR,Southern Railway,2025,11,November,2637,214,5823,344,3267228,650700,2616528
SW,South Western Railway,2025,11,November,747,118,1978,183,2285115,216300,2068815
WC,West Central Railway,2025,11,November,867,82,1259,188,1159007,127143,1031864
WR,Western Railway,2025,11,November,2146,176,4810,503,3534230,401633,3132597
ALL,All India,2025,12,December,169314,34246,260647,54312,221868090,39365288,182502802
CR,Central Railway,2025,12,December,1680,239,3481,418,2030239,362487,1667752
EC,East Central Railway,2025,12,December,1034,133,2124,2816,1863308,260074,1603234
EO,East Coast Railway,2025,12,December,287,204,878,204,645977,60630,585347
ER,Eastern Railway,2025,12,December,1743,137,2086,164,1733848,255544,1478304
INTERNET,Internet / Online Booking,2025,12,December,152062,31808,223914,47668,195104829,35793772,159311057
KR,Konkan Railway,2025,12,December,109,33,197,35,228963,12096,216867
NC,North Central Railway,2025,12,December,581,86,1247,139,779447,102030,677417
NE,North Eastern Railway,2025,12,December,646,203,2052,222,1538912,230643,1308269
NF,Northeast Frontier Railway,2025,12,December,734,132,2498,192,1688462,247402,1441060
NR,Northern Railway,2025,12,December,2513,403,4228,580,2818145,153672,2664473
NW,North Western Railway,2025,12,December,679,80,1550,179,1710362,142808,1567554
SB,South East Central Railway,2025,12,December,612,72,1336,210,873528,107491,766037
SC,South Central Railway,2025,12,December,689,82,1931,171,1085177,143350,941827
SE,South Eastern Railway,2025,12,December,564,79,1171,160,1180501,119880,1060621
SR,Southern Railway,2025,12,December,2059,222,4643,371,2399948,703389,1696559
SW,South Western Railway,2025,12,December,643,107,1763,166,1953284,198903,1754381
WC,West Central Railway,2025,12,December,833,72,1274,160,1094005,117735,976270
WR,Western Railway,2025,12,December,1846,154,4274,457,3139155,353382,2785773
